hostname,ipaddress,description
CAM_BDU_Dao cat line 1,10.101.6.7,San xuat my
CAM_BDU_Lo can line 1,10.101.6.2,
CAM_BDU_Mam bot lo can line1_2,10.101.6.1,
CAM_BDU_Lo can line 3,10.101.6.67,
CAM_BDU_Lo can line 6,10.101.6.3,
CAM_BDU_Dao cat line 6,10.101.6.34,
CAM_BDU_Dao cat line 5,10.101.6.68,
CAM_BDU_Dao cat line 3,10.101.6.70,
CAM_BDU_Giua line 5_6,10.101.6.234,
CAM_BDU_Giua line 3,10.101.6.232,
CAM_BDU_Giua line2_3,10.101.6.233,
CAM_BDU_Dao cat line 2,10.101.6.69,
CAM_BDU_Dong goi line 6,10.101.6.13,
CAM_BDU_Dong goi line 5,10.101.6.14,
CAM_BDU_Dong goi line 2,10.101.6.15,
CAM_BDU_Dong goi line 1,10.101.6.16,
CAM_BDU_Vo thung line5_6,10.101.6.65 ,
CAM_BDU_Dang thung line 1_2,10.101.6.21,
CAM_BDU_Bo dem line 1_2,10.101.6.20,
CAM_BDU_Bo dem line 2,10.101.6.19,
CAM_BDU_Bo dem line 5,10.101.6.18,
CAM_BDU_Bo dem line 6,10.101.6.17,
CAM_BDU_Hanh lang mi 1,10.101.6.64,
CAM_BDU_Hanh lang mi,10.101.6.78,
CAM_BDU_Phong Muoi,10.101.6.66,
CAM_BDU_Xuong,10.101.6.4,
CAM_BDU_Khu vuc palet,10.101.6.22,
CAM_BDU_Chat palet 235,10.101.6.24,
CAM_BDU_Chat palet 123,10.101.6.23,
CAM_BDU_Airshower Mi,10.101.6.63,
CAM_BDU_AIRSHOW Mi,10.101.6.79,
CAM_BDU_Hanh lang cua vao mi,10.101.6.10,
CAM_BDU_Mi 2,10.101.6.12,
CAM_BDU_Mi1,10.101.6.11,
CAM_BDU_Rua tay mi,10.101.6.57,
CAM_BDU_WC nu mi,10.101.6.58,
CAM_BDU_Nam mi 3,10.101.6.8,
CAM_BDU_Nam mi 2,10.101.6.9,
CAM_BDU_Nam mi 1,10.101.6.49,
CAM_BDU_Rua tay mi Nam,10.101.6.55,
CAM_BDU_WC Nam mi,10.101.6.56,
CAM_BDU_Kiem mi sau dong goi line 1,10.101.6.246,
CAM_BDU_Kiem mi sau dong goi line 2,10.101.6.248,
CAM_BDU_Kiem mi sau dong goi line 5,10.101.6.245,
CAM_BDU_Kiem mi sau dong goi line 6,10.101.6.247,
CAM_BDU_Bot dai line 56,10.101.6.30,
CAM_BDU_Bot dai line 123,10.101.6.61,
CAM_BDU_Phong can NLPG,10.101.6.32,
CAM_BDU_Thang may bot dai,10.101.6.31,
CAM_BDU_Phong tron soda,10.101.6.71,
CAM_BDU_Phong tron dich phun,10.101.6.33,
CAM_BDU_Vo thung MiLy,10.101.6.94,
CAM_BDU_Dap nep Mi Ly,10.101.6.42,
CAM_BDU_Phong xuly Lieu,10.101.6.39,
CAM_BDU_Phong chua lieu,10.101.6.38,
CAM_BDU_San gia nhiet,10.101.6.140,
CAM_BDU_He thong loc dau Short,10.101.6.41,
CAM_BDU_May dong goi man co my ly,10.101.6.72,
CAM_BDU_Dap nep Mi Ly2,10.101.6.46,
CAM_BDU_BTP mi ly,10.101.6.231,
CAM_BDU_Dong goi my khay,10.101.6.43,
CAM_BDU_KV mi ly sau nguoi,10.101.6.102,
CAM_BDU_Bo dem my Khay,10.101.6.48,
CAM_BDU_Khu vuc Xray,10.101.6.228,
CAM_BDU_Bo dem my ly,10.101.6.42,
CAM_BDU_Khu vuc tu nguoi 1,10.101.6.137,
CAM_BDU_Khu vuc tu nguoi 2,10.101.6.138,
CAM_BDU_Khu vuc tu nguoi 3,10.101.6.139,
CAM_BDU_Khu vuc tron bot line 3_my,10.101.6.252,
CAM_BDU_Kv rot sup line3_my,10.101.6.212,
CAM_BDU_Kv nhap BTP my ly_my goi,10.101.6.210,
CAM_BDU_Kv nhap BTP line,10.101.6.211,
CAM_BDU_Khu vuc ly ,10.101.6.214,
CAM_BDU_Phong giac,10.101.6.27,
CAM_BDU_Thu mu mi,10.101.6.62,QC
CAM_BDU_Phong Kiem Mau,10.101.5.180,
CAM_BDU_Can Phu gia,10.101.5.118,
CAM_BDU_Vi Sinh,10.101.5.130,
CAM_BDU_San xuat mi,10.101.6.37,Van Phong
CAM_BDU_C Mi,10.101.6.36,
CAM_BDU_Hanh lang vp San Xuat,10.101.6.104,
CAM_BDU_QC My,10.101.6.35,
CAM_BDU_Phong Hop san xuat my,10.101.6.61,
CAM_BDU_Phong Hoi Truong,10.101.6.92,
CAM_BDU_Kho phat qua,10.101.6.207,
CAM_BDU_Phong hop Pho,10.101.5.134,
CAM_BDU_Phong Bao ve,10.101.6.5,
CAM_BDU_San xuat_ Pho,10.101.5.132,
CAM_BDU_Khu vuc nha An,10.101.5.53,
CAM_BDU_Hang Lang Pho 2,10.101.5.114,
CAM_BDU_Phong Y Te,10.101.6.50,
CAM_BDU_Hanh Chanh,10.101.6.81,
CAM_BDU_Kinh doanh,10.101.6.82,
CAM_BDU_Ke Hoach,10.101.6.83,
CAM_BDU_Phong hop 2,10.101.6.84,
CAM_BDU_Nha May,10.101.6.85,
CAM_BDU_Phong Giam Doc,10.101.6.86,
CAM_BDU_Phong hop 1,10.101.6.87,
CAM_BDU_Phong Ke toans,10.101.6.88,
CAM_BDU_Phong IT,10.101.6.89,
CAM_BDU_QC Pho,10.101.5.135,
CAM_BDU_Dam bao chat luon,10.101.5.137,
CAM_BDU_Hanh lang lau pho 1,10.101.5.131,
CAM_BDU_Nha an 1,10.101.5.205,
CAM_BDU_Nha an 2,10.101.5.204,
CAM_BDU_Cua van phong,10.101.6.85,
CAM_BDU_Phong dieu khien lo than,10.101.5.31,
CAM_BDU_Pho 2,10.101.5.188,
CAM_BDU_May nen khi,10.101.6.44,
CAM_BDU_Kinh thuy lo than 1,10.101.5.190,
CAM_BDU_Kinh thuy lo than 2,10.101.5.191,
CAM_BDU_Kinh thuy lo than 3,10.101.5.192,
CAM_BDU_Man hinh dieu kien lo than 1,10.101.5.45,
CAM_BDU_Man hinh dieu kien lo than 2,10.101.5.46,
CAM_BDU_Xuong Mi,10.101.6.4,
CAM_BDU_Cua Lo than,10.101.5.194,
CAM_BDU_San tai Nguyen lieu,10.101.5.6,
CAM_BDU_Lo than 1,10.101.5.29,
CAM_BDU_Lo than 2,10.101.5.25,
CAM_BDU_Lo than 3,10.101.5.30,
CAM_BDU_Sau lo than,10.101.5.34,
CAM_BDU_Ong khoi,10.101.6.249,
CAM_BDU_Ong khoi lo than,10.101.6.127,
CAM_BDU_Ong thuy cap nuoc,10.101.5.240,
CAM_BDU_Xuong co 1,10.101.5.16,
CAM_BDU_Xuong co 2,10.101.6.237,
CAM_BDU_Buong nguyen lieu 1_2,10.101.5.35,
